Question,SQL Query,Answer,Final_answer,Result
WHICH IS THE LEAST USED BUSINESS APPLICATION?,"SELECT APP_NAME, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE != 0 AND APP_NAME IS NOT NULL AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY APP_NAME ORDER BY COUNT ASC LIMIT 1",The least used BUSINESS application is mdguidelines,mdguidelines,
WHICH PARTICIPANT HAS THE HIGHEST AVERAGE DAILY UTILIZATION IN PROCESS APPLICATIONS?,"SELECT PARTICIPANT_NAME, SUM(ACTIVE_TIME)/COUNT(DISTINCT EVENT_DATE) AS AVG_DAILY_UTILIZATION FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE != 0 AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PARTICIPANT_NAME ORDER BY AVG_DAILY_UTILIZATION DESC LIMIT 1",participant with highest daily utilization in prces application is BAL20,BLA20,
"WHAT IS THE AVERAGE DAILY UTILIZATION IN NONPROCESS APPLICATIONS, ACROSS ALL PARTICIPANTS?",SELECT SUM(ACTIVE_TIME)/COUNT(DISTINCT EVENT_DATE) AS AVG_UTILIZATION FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE = 0 AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,average daily utilization in non process application is 80622.09599999996,80622.09599999996,
WHICH PARTICIPANT HAS THE LEAST AVERAGE DAILY UTILIZATION IN NON PROCESS APPLICATIONS?,"SELECT PARTICIPANT_NAME, SUM(ACTIVE_TIME)/(COUNT(DISTINCT EVENT_DATE)) AS AVG_DAILY_UTILIZATION FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE=0 AND EVENT_DATE>='2023-04-01' AND EVENT_DATE<='2023-04-30' GROUP BY PARTICIPANT_NAME ORDER BY AVG_DAILY_UTILIZATION ASC LIMIT 1",participant with least average daily utilization in non process application is DGI20,DGI20,
WHICH PARITICPANT WAS ON LEAVE MOST DAYS IN THIS MONTH ?,"SELECT PARTICIPANT_NAME, COUNT(DISTINCT EVENT_DATE) AS LEAVE_DAYS FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01'             AND EVENT_DATE <= '2023-04-30' GROUP BY PARTICIPANT_NAME ORDER BY LEAVE_DAYS ASC LIMIT 1",participant leave on most days in month is BJT16,BJT16,
WHICH HOUR OF THE DAY HAS THE LEAST EVENTS FOR THIS LES PERSONA,"SELECT SUBSTRING(EVENT_TIME,12,2) AS HOUR, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'LES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY HOUR ORDER BY COUNT LIMIT 1",Hour of the day with least events in LES persona is 8,8,
WHICH DAY OF THE WEEK HAS THE HIGHEST EVENTS  FOR THIS LES PERSONA,"SELECT DATE_FORMAT(EVENT_DATE, 'EEEE') AS DAY_OF_WEEK, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'LES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY DAY_OF_WEEK ORDER BY COUNT DESC LIMIT 1",day of the week with highest events for LES persona is Tuesday,Tuesday,
WHAT IS THE TOTAL TIME SPENT ON PROCESS APPLICATIONS FOR THIS LES PERSONA,SELECT SUM(ACTIVE_TIME) AS TOTAL_TIME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE != 0 AND PERSONA_NAME = 'LES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,total time spent on process application in LES perosna is 2474839.8599999943,2474839.8599999943,
WHAT IS THE TOTAL CASES IN THIS LES PERSONA,SELECT COUNT(DISTINCT CASE_ID_VALUE) AS TOTAL_CASES FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'LES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,total cases in LES persona is 5905,5905,
WHAT IS THE AVERAGE CASE EFFORT OF THIS LES PERSONA,SELECT SUM(TAT_EVENT)/COUNT(DISTINCT CASE_ID_VALUE) AS AVG_CASE_EFFORT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'LES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,AVG_CASE_EFFORT in LES persona is 4176.986563928869,4176.986563928869,
