"#","Scope","Type","Question","deprecated","correct_query"
"1","application","Analytical","which is the most used application ?","no","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count DESC LIMIT 1"
"2","application","Analytical","which is the least used application?","no","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count ASC LIMIT 1"
"3","application","Analytical","which is the most used  application by the user which is not used for business oprtation?","no","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE agent_type = 0 AND app_name IS NOT NULL AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count DESC LIMIT 1"
"4","application","Analytical","which is the least used business application?","no","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND app_name IS NOT NULL AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count ASC LIMIT 1"
"5","application","Analytical","which is the most used type of application","no","SELECT application_type ,COUNT(*) FROM (SELECT  CASE  WHEN agent_type = 0 THEN 'Non-process applications'        WHEN agent_type = 2 THEN 'Desktop or native applications'        WHEN agent_type IN (3,4,5,6,7,8) THEN 'Browser-based applications'        WHEN agent_type = 9 THEN 'Java-based applications'     WHEN agent_type IN (10,11) THEN 'Mainframe applications'    WHEN agent_type >= 100 THEN 'Web extension-based applications'    END as application_type  FROM  unum_askskan.events_delta_tb WHERE    event_date>= '2023-04-01' AND event_date<='2023-04-30') GROUP BY application_type ORDER BY COUNT(*) DESC LIMIT 1"
"6","application","Analytical","which is the least used type of application?","no","SELECT application_type ,COUNT(*) FROM (SELECT  CASE  WHEN agent_type = 0 THEN 'Non-process applications'        WHEN agent_type = 2 THEN 'Desktop or native applications'        WHEN agent_type IN (3,4,5,6,7,8) THEN 'Browser-based applications'        WHEN agent_type = 9 THEN 'Java-based applications'     WHEN agent_type IN (10,11) THEN 'Mainframe applications'    WHEN agent_type >= 100 THEN 'Web extension-based applications'    END as application_type  FROM  unum_askskan.events_delta_tb WHERE    event_date>= '2023-04-01' AND event_date<='2023-04-30') GROUP BY application_type ORDER BY COUNT(*) ASC LIMIT 1"
"7","clipboard","Analytical","which participant has the highest use of clipboard ","no","SELECT participant_name, SUM(clipboard) as count from unum.data Where event_date>='2023-04-01' and event_date<='2023-04-30'             GROUP BY participant_name ORDER BY count DESC LIMIT 1"
"8","clipboard","Analytical","which participant has the least use of clipboard ","no","SELECT participant_name, SUM(clipboard) as count from unum.data Where event_date>='2023-04-01' and event_date<='2023-04-30'             GROUP BY participant_name ORDER BY count ASC LIMIT 1"
"9","application","Analytical","which persona has highest numbers of applications","no","SELECT persona_name, COUNT(DISTINCT app_name) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count DESC LIMIT 1"
"10","application","Analytical","which persona has least numbers of applications","no","SELECT persona_name, COUNT(DISTINCT app_name) AS app_count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY app_count ASC LIMIT 1"
