Question,modified_Question,Query,is_Question_added_to_cluster,is_Query_added_to_cluster,Query_clusters,Question_clusters,user_added_query
WHICH IS THE MOST USED APPLICATION ?,WHICH IS THE MOST USED NOUN# ? ,"SELECT APP_NAME, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY APP_NAME ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHICH IS THE LEAST USED APPLICATION?,WHICH IS THE LEAST USED NOUN# ? ,"SELECT APP_NAME, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY APP_NAME ORDER BY COUNT ASC LIMIT 1",no,no,,,no
WHICH IS THE MOST USED  APPLICATION BY THE USER WHICH IS NOT USED FOR BUSINESS OPRTATION?,WHICH IS THE MOST USED NOUN# BY THE NOUN# WHICH IS NOT USED FOR BUSINESS OPRTATION ? ,"SELECT APP_NAME, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE = 0 AND APP_NAME IS NOT NULL AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY APP_NAME ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHICH IS THE LEAST USED BUSINESS APPLICATION?,WHICH IS THE LEAST USED NOUN# ? ,"SELECT APP_NAME, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE != 0 AND APP_NAME IS NOT NULL AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY APP_NAME ORDER BY COUNT ASC LIMIT 1",no,no,,,no
WHICH IS THE MOST USED TYPE OF APPLICATION,WHICH IS THE MOST USED NOUN# OF NOUN# ,"SELECT APPLICATION_TYPE ,COUNT(*) FROM (SELECT  CASE  WHEN AGENT_TYPE = 0 THEN 'NON-PROCESS APPLICATIONS'        WHEN AGENT_TYPE = 2 THEN 'DESKTOP OR NATIVE APPLICATIONS'        WHEN AGENT_TYPE IN (3,4,5,6,7,8) THEN 'BROWSER-BASED APPLICATIONS'        WHEN AGENT_TYPE = 9 THEN 'JAVA-BASED APPLICATIONS'     WHEN AGENT_TYPE IN (10,11) THEN 'MAINFRAME APPLICATIONS'    WHEN AGENT_TYPE >= 100 THEN 'WEB EXTENSION-BASED APPLICATIONS'    END AS APPLICATION_TYPE  FROM  UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE    EVENT_DATE>= '2023-04-01' AND EVENT_DATE<='2023-04-30') GROUP BY APPLICATION_TYPE ORDER BY COUNT(*) DESC LIMIT 1",no,no,,,no
WHICH IS THE LEAST USED TYPE OF APPLICATION?,WHICH IS THE LEAST USED NOUN# OF NOUN# ? ,"SELECT APPLICATION_TYPE ,COUNT(*) FROM (SELECT  CASE  WHEN AGENT_TYPE = 0 THEN 'NON-PROCESS APPLICATIONS'        WHEN AGENT_TYPE = 2 THEN 'DESKTOP OR NATIVE APPLICATIONS'        WHEN AGENT_TYPE IN (3,4,5,6,7,8) THEN 'BROWSER-BASED APPLICATIONS'        WHEN AGENT_TYPE = 9 THEN 'JAVA-BASED APPLICATIONS'     WHEN AGENT_TYPE IN (10,11) THEN 'MAINFRAME APPLICATIONS'    WHEN AGENT_TYPE >= 100 THEN 'WEB EXTENSION-BASED APPLICATIONS'    END AS APPLICATION_TYPE  FROM  UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE    EVENT_DATE>= '2023-04-01' AND EVENT_DATE<='2023-04-30') GROUP BY APPLICATION_TYPE ORDER BY COUNT(*) ASC LIMIT 1",no,no,,,no
WHICH PARTICIPANT HAS THE HIGHEST USE OF CLIPBOARD ,WHICH NOUN# HAS THE HIGHEST NOUN# OF CLIPBOARD ,"SELECT PARTICIPANT_NAME, SUM(CLIPBOARD) AS COUNT FROM UNUM.DATA WHERE EVENT_DATE>='2023-04-01' AND EVENT_DATE<='2023-04-30'             GROUP BY PARTICIPANT_NAME ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHICH PARTICIPANT HAS THE LEAST USE OF CLIPBOARD ,WHICH NOUN# HAS THE LEAST NOUN# OF CLIPBOARD ,"SELECT PARTICIPANT_NAME, SUM(CLIPBOARD) AS COUNT FROM UNUM.DATA WHERE EVENT_DATE>='2023-04-01' AND EVENT_DATE<='2023-04-30'             GROUP BY PARTICIPANT_NAME ORDER BY COUNT ASC LIMIT 1",no,no,,,no
WHICH PERSONA HAS HIGHEST NUMBERS OF APPLICATIONS,WHICH NOUN# HAS NOUN# OF NOUN# ,"SELECT PERSONA_NAME, COUNT(DISTINCT APP_NAME) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PERSONA_NAME ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHICH PERSONA HAS LEAST NUMBERS OF APPLICATIONS,WHICH NOUN# HAS LEAST NOUN# OF NOUN# ,"SELECT PERSONA_NAME, COUNT(DISTINCT APP_NAME) AS APP_COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PERSONA_NAME ORDER BY APP_COUNT ASC LIMIT 1",no,no,,,no
WHICH PARTICIPANT HAS THE HIGHEST EVENTS,WHICH NOUN# HAS THE NOUN# ,"SELECT PARTICIPANT_NAME, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND             EVENT_DATE <= '2023-04-30' GROUP BY PARTICIPANT_NAME ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHICH PARTICIPANT HAS THE LEAST EVENTS,WHICH NOUN# HAS THE LEAST NOUN# ,"SELECT PARTICIPANT_NAME, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PARTICIPANT_NAME ORDER BY COUNT ASC LIMIT 1",no,no,,,no
WHICH PERSONA HAS THE HIGHEST EVENTS,WHICH NOUN# HAS THE NOUN# ,"SELECT PERSONA_NAME, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PERSONA_NAME ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHICH PERSONA HAS THE LEAST EVENTS,WHICH NOUN# HAS THE LEAST NOUN# ,"SELECT PERSONA_NAME, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PERSONA_NAME ORDER BY COUNT ASC LIMIT 1",no,no,,,no
WHICH HOUR OF THE DAY HAS THE HIGHEST EVENTS,WHICH NOUN# OF THE DAY HAS THE NOUN# ,"SELECT SUBSTRING(EVENT_TIME,12,2) AS HOUR, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY HOUR ORDER BY COUNT DESC LIMIT 1",no,no,,,no
