#,Question,correct_query,generated_query,temp_0.2,temp_0.4,temp_0.6
1,which is the most used application ?,"SELECT app_name, SUM(active_time) as sum_active_time FROM unum_askskan.events_delta_tb WHERE  event_date >= '2023-04-01' AND event_date <= '2023-04-30'  GROUP BY app_name ORDER BY sum_active_time DESC LIMIT 1","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count DESC LIMIT 1 ""","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count DESC LIMIT 1 ""","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count DESC LIMIT 1 ""","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count DESC LIMIT 1 """
2,which is the least used application?,"SELECT app_name, SUM(active_time) AS sum_active_time FROM unum_askskan.events_delta_tb WHERE  event_date >= '2023-04-01' AND event_date <= '2023-04-30'  GROUP BY app_name ORDER BY sum_active_time ASC LIMIT 1","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND agent_type != 0 GROUP BY app_name ORDER BY count ASC LIMIT 1 ""","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND agent_type != 0 GROUP BY app_name ORDER BY count ASC LIMIT 1 ""","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count ASC LIMIT 1 ""","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND agent_type != 0 GROUP BY app_name ORDER BY count ASC LIMIT 1 """
3,which is the most used  application by the user which is not used for business oprtation?,"SELECT app_name, SUM(active_time) as sum_active_time FROM unum_askskan.events_delta_tb WHERE agent_type = 0 AND  event_date >= '2023-04-01' AND event_date <= '2023-04-30'  GROUP BY app_name ORDER BY sum_active_time DESC LIMIT 1","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count DESC LIMIT 1 ""","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count DESC LIMIT 1 ""","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND agent_type = 2 GROUP BY app_name ORDER BY count DESC LIMIT 1 ""","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND agent_type != 0 GROUP BY app_name ORDER BY count DESC LIMIT 1 """
4,which is the least used business application?,"SELECT app_name, SUM(active_time) AS sum_active_time FROM unum_askskan.events_delta_tb WHERE agent_type > 0 AND  event_date >= '2023-04-01' AND event_date <= '2023-04-30'  GROUP BY app_name ORDER BY sum_active_time ASC LIMIT 1","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count ASC LIMIT 1 ""","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count ASC LIMIT 1 ""","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count ASC LIMIT 1 ""","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count ASC LIMIT 1 """
5,which is the most used type of application,"SELECT CASE WHEN agent_type = 0 THEN 'Non-process applications' WHEN agent_type = 2 THEN 'Desktop or native applications' WHEN agent_type IN (3, 4, 5, 6, 7, 8) THEN 'Browser-based applications' WHEN agent_type = 9 THEN 'Java-based applications' WHEN agent_type IN (10, 11) THEN 'Mainframe applications' WHEN agent_type >= 100 THEN 'Web extension-based applications' END as application_type, SUM(active_time) as total_active_time FROM unum_askskan.events_delta_tb WHERE  event_date >= '2023-04-01' AND event_date <= '2023-04-30'  GROUP BY application_type ORDER BY total_active_time DESC LIMIT 1","SELECT agent_type, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND agent_type != 0 GROUP BY agent_type ORDER BY count DESC LIMIT 1 ""","SELECT agent_type, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND agent_type != 0 GROUP BY agent_type ORDER BY count DESC LIMIT 1 ""","SELECT agent_type, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND agent_type != 0 GROUP BY agent_type ORDER BY count DESC LIMIT 1 ""","SELECT agent_type, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND agent_type != 0 GROUP BY agent_type ORDER BY count DESC LIMIT 1 """
6,which is the least used type of application?,"SELECT CASE WHEN agent_type = 0 THEN 'Non-process applications' WHEN agent_type = 2 THEN 'Desktop or native applications' WHEN agent_type IN (3, 4, 5, 6, 7, 8) THEN 'Browser-based applications' WHEN agent_type = 9 THEN 'Java-based applications' WHEN agent_type IN (10, 11) THEN 'Mainframe applications' WHEN agent_type >= 100 THEN 'Web extension-based applications' ELSE 'Other' END AS application_type, SUM(active_time) AS total_active_time FROM unum_askskan.events_delta_tb WHERE  event_date >= '2023-04-01' AND event_date <= '2023-04-30'  GROUP BY application_type ORDER BY total_active_time ASC LIMIT 1","SELECT agent_type, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND agent_type != 0 GROUP BY agent_type ORDER BY count ASC LIMIT 1 ""","SELECT agent_type, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND agent_type != 0 GROUP BY agent_type ORDER BY count ASC LIMIT 1 ""","SELECT agent_type, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND agent_type != 0 GROUP BY agent_type ORDER BY count ASC LIMIT 1 ""","SELECT agent_type, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND agent_type != 0 GROUP BY agent_type ORDER BY count ASC LIMIT 1 """
7,which participant has the highest use of clipboard ,"SELECT participant_name, SUM(clipboard) as count from unum.data Where event_date>='2023-04-01' and event_date<='2023-04-30'             GROUP BY participant_name ORDER BY count DESC LIMIT 1","SELECT participant_name, SUM(clipboard) AS total_clipboard FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY total_clipboard DESC LIMIT 1 ""","SELECT participant_name, SUM(clipboard) AS total_clipboard FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY total_clipboard DESC LIMIT 1 ""","SELECT participant_name, SUM(clipboard) AS total_clipboard FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY total_clipboard DESC LIMIT 1 ""","SELECT participant_name, SUM(clipboard) AS total_clipboard FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY total_clipboard DESC LIMIT 1 """
8,which participant has the least use of clipboard ,"SELECT participant_name, SUM(clipboard) as count from unum.data Where event_date>='2023-04-01' and event_date<='2023-04-30'             GROUP BY participant_name ORDER BY count ASC LIMIT 1","SELECT participant_name, SUM(clipboard) AS total_clipboard FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY total_clipboard ASC LIMIT 1 ""","SELECT participant_name, SUM(clipboard) AS total_clipboard FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY total_clipboard ASC LIMIT 1 ""","SELECT participant_name, SUM(clipboard) AS total_clipboard FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY total_clipboard ASC LIMIT 1 ""","SELECT participant_name, SUM(clipboard) AS total_clipboard FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY total_clipboard ASC LIMIT 1 """
9,which persona has highest numbers of applications,"SELECT persona_name, COUNT(DISTINCT app_name) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count DESC LIMIT 1","SELECT persona_name, COUNT(DISTINCT app_name) AS app_count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND agent_type != 0 GROUP BY persona_name ORDER BY app_count DESC LIMIT 1 ""","SELECT persona_name, COUNT(DISTINCT app_name) AS app_count FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY app_count DESC LIMIT 1 ""","SELECT persona_name, COUNT(DISTINCT CASE WHEN agent_type != 0 THEN case_id_value END) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count DESC LIMIT 1 ""","SELECT persona_name, COUNT(DISTINCT app_name) AS app_count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND agent_type != 0 GROUP BY persona_name ORDER BY app_count DESC LIMIT 1 """
10,which persona has least numbers of applications,"SELECT persona_name, COUNT(DISTINCT app_name) AS app_count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY app_count ASC LIMIT 1","SELECT persona_name, COUNT(DISTINCT app_name) AS app_count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY app_count ASC LIMIT 1 ""","SELECT persona_name, COUNT(DISTINCT app_name) AS app_count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY app_count ASC LIMIT 1 ""","SELECT persona_name, COUNT(DISTINCT app_name) AS app_count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY app_count ASC LIMIT 1 ""","SELECT persona_name, COUNT(DISTINCT app_name) AS num_apps FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY num_apps ASC LIMIT 1 """
